127.0.0.1 - - [04/Oct/2024:20:42:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:42:48 +0900] "GET /exam_01/layout/header.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:42:48 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:46:33 +0900] "GET /exam_01/layout/nav.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:46:33 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:46:53 +0900] "GET /exam_01/layout/nav.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:46:53 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:51:51 +0900] "GET /exam_01/layout/footer.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:51:51 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:52:10 +0900] "GET /exam_01/layout/footer.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:52:10 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:52:29 +0900] "GET /exam_01/layout/footer.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [04/Oct/2024:20:52:29 +0900] "GET /exam_01/css/style.css?ver1.1.1 HTTP/1.1" 200 565
